Country,Month,Year,Events,Fatalities
Israel,January,2016,5,3
Israel,February,2016,4,1
Israel,March,2016,6,3
Israel,April,2016,4,1
Israel,May,2016,8,0
Israel,June,2016,5,9
Israel,July,2016,3,0
Israel,August,2016,3,0
Israel,September,2016,3,0
Israel,October,2016,6,3
Israel,November,2016,0,0
Israel,December,2016,1,0
Israel,January,2017,8,3
Israel,February,2017,7,0
Israel,March,2017,7,0
Israel,April,2017,2,0
Israel,May,2017,8,1
Israel,June,2017,10,2
Israel,July,2017,3,0
Israel,August,2017,5,0
Israel,September,2017,4,0
Israel,October,2017,2,1
Israel,November,2017,4,1
Israel,December,2017,13,0
Israel,January,2018,8,0
Israel,February,2018,5,0
Israel,March,2018,1,0
Israel,April,2018,9,3
Israel,May,2018,34,0
Israel,June,2018,49,0
Israel,July,2018,70,1
Israel,August,2018,31,0
Israel,September,2018,37,0
Israel,October,2018,33,0
Israel,November,2018,15,2
Israel,December,2018,6,1
Israel,January,2019,14,2
Israel,February,2019,10,1
Israel,March,2019,38,0
Israel,April,2019,10,0
Israel,May,2019,51,5
Israel,June,2019,38,1
Israel,July,2019,17,2
Israel,August,2019,18,0
Israel,September,2019,12,0
Israel,October,2019,12,0
Israel,November,2019,20,0
Israel,December,2019,7,0
Israel,January,2020,16,0
Israel,February,2020,30,0
Israel,March,2020,6,0
Israel,April,2020,18,0
Israel,May,2020,6,0
Israel,June,2020,6,0
Israel,July,2020,4,0
Israel,August,2020,66,1
Israel,September,2020,3,0
Israel,October,2020,22,0
Israel,November,2020,11,0
Israel,December,2020,4,0
Israel,January,2021,24,0
Israel,February,2021,5,2
Israel,March,2021,9,1
Israel,April,2021,28,0
Israel,May,2021,162,17
Israel,June,2021,23,0
Israel,July,2021,16,1
Israel,August,2021,13,0
Israel,September,2021,8,1
Israel,October,2021,5,0
Israel,November,2021,10,0
Israel,December,2021,9,1
Israel,January,2022,12,0
Israel,February,2022,3,0
Israel,March,2022,15,17
Israel,April,2022,14,7
Israel,May,2022,7,3
Israel,June,2022,5,1
Israel,July,2022,6,0
Israel,August,2022,22,0
Israel,September,2022,7,2
Israel,October,2022,7,0
Israel,November,2022,12,2
Israel,December,2022,7,2
Israel,January,2023,4,0
Israel,February,2023,6,0
Israel,March,2023,11,3
Israel,April,2023,18,4
Israel,May,2023,50,3
Israel,June,2023,4,4
Israel,July,2023,7,1
Israel,August,2023,10,3
Israel,September,2023,11,1
Israel,October,2023,483,1468
Israel,November,2023,292,12
Israel,December,2023,324,4
Israel,January,2024,264,4
Israel,February,2024,219,4
Israel,March,2024,262,6
Israel,April,2024,233,4
Israel,May,2024,308,9
Israel,June,2024,229,3
Israel,July,2024,206,9
Israel,August,2024,221,9
Israel,September,2024,376,3
Israel,October,2024,682,38
Israel,November,2024,444,6
Israel,December,2024,27,1
Israel,January,2025,6,0
